Packet ID,Hops,End-to-end Delay
1702,2,0.03031700000000015
1741,2,0.08104299999999975
2056,2,0.0794769999999998
393,2,0.08104299999999998
1125,2,0.08104299999999975
966,1,0.014000000000000012
385,1,0.014000000000000012
785,1,0.014000000000000012
556,1,0.014000000000000012
1202,2,0.0794100000000002
1876,2,0.0794100000000002
1588,2,0.07940999999999976
1839,2,0.0810430000000002
1089,2,0.030316999999999927
2494,3,0.0411999999999999
2001,1,0.01399999999999979
314,2,0.030316999999999927
1359,3,0.08343400000000001
1556,2,0.03031700000000015
1577,1,0.014000000000000234
729,3,0.08362599999999998
885,3,0.08311399999999991
1978,2,0.08104400000000034
1352,1,0.01399999999999979
330,1,0.014000000000000012
1937,2,0.08104299999999975
1748,2,0.0794769999999998
1483,2,0.0810430000000002
518,2,0.07940999999999998
843,2,0.08104299999999998
2250,2,0.030316999999999705
2223,2,0.03031600000000001
1781,2,0.0810430000000002
112,2,0.062828
2349,1,0.01399999999999979
161,2,0.03031700000000004
896,2,0.030316999999999927
17,1,0.013999999999999999
1436,2,0.08104400000000034
1655,1,0.01399999999999979
346,2,0.077843
668,1,0.014000000000000012
2063,2,0.0810430000000002
2105,2,0.03031700000000015
250,1,0.014000000000000012
533,2,0.03031600000000001
760,2,0.030316999999999927
2369,2,0.03031600000000001
2219,3,0.08394600000000008
537,2,0.030316999999999927
2098,2,0.03031700000000015
1047,2,0.08104299999999998
469,2,0.03031600000000001
583,2,0.08104299999999998
555,2,0.08104299999999998
1151,2,0.08104299999999975
695,3,0.08394600000000008
203,1,0.014000000000000012
254,2,0.03031700000000004
1219,2,0.0810430000000002
709,3,0.08285799999999988
230,1,0.014000000000000012
27,1,0.013999999999999999
714,3,0.08138599999999996
645,2,0.03031600000000001
923,2,0.03031600000000001
1552,1,0.014000000000000234
1724,2,0.08104400000000034
1492,2,0.030316999999999705
2480,3,0.0411999999999999
1401,1,0.01399999999999979
623,2,0.08104299999999998
2299,1,0.01399999999999979
1531,2,0.0810430000000002
2441,1,0.013999999999999346
146,2,0.03031600000000001
222,3,0.07549800000000007
983,3,0.08362599999999998
2309,1,0.01399999999999979
2354,2,0.0794769999999998
301,1,0.014000000000000012
43,2,0.043184
234,2,0.07498199999999994
2416,3,0.0411999999999999
1315,3,0.08336999999999994
74,2,0.05512800000000001
759,2,0.08104299999999998
2269,2,0.0810430000000002
1336,2,0.03031700000000015
1109,2,0.03031600000000001
660,3,0.08093799999999995
286,2,0.07784400000000002
1023,2,0.08104299999999998
72,2,0.05512800000000001
308,3,0.080426
1209,2,0.0810430000000002
1158,2,0.07940999999999976
1021,2,0.03031600000000001
1900,2,0.0810439999999999
512,1,0.014000000000000012
255,2,0.07627699999999993
707,1,0.014000000000000012
1453,2,0.0810430000000002
2094,2,0.03031700000000015
1981,2,0.08104299999999975
855,2,0.03031600000000001
1877,3,0.08381799999999995
2492,3,0.0411999999999999
2148,1,0.014000000000000234
458,1,0.014000000000000012
1677,2,0.0810430000000002
1489,1,0.014000000000000234
1276,3,0.08183400000000018
2145,2,0.03031600000000001
